Sr. No.,UNDERLYING,SYMBOL,token,exch,id
70,Dr. Lal Path Labs Ltd.,LALPATHLAB,11654,NSE,NSE|11654
71,Dr. Reddy's Laboratories Limited,DRREDDY,881,NSE,NSE|881
72,Eicher Motors Limited,EICHERMOT,910,NSE,NSE|910
73,Escorts Kubota Limited,ESCORTS,958,NSE,NSE|958
74,Exide Industries Limited,EXIDEIND,676,NSE,NSE|676
75,FSN E-Commerce Ventures Limited,NYKAA,6545,NSE,NSE|6545
76,GAIL (India) Limited,GAIL,4717,NSE,NSE|4717
77,GMR Airports Limited,GMRAIRPORT,13528,NSE,NSE|13528
78,Glenmark Pharmaceuticals Limited,GLENMARK,7406,NSE,NSE|7406
79,Godrej Consumer Products Limited,GODREJCP,10099,NSE,NSE|10099
80,Godrej Properties Limited,GODREJPROP,17875,NSE,NSE|17875
81,Granules India Limited,GRANULES,11872,NSE,NSE|11872
82,Grasim Industries Limited,GRASIM,1232,NSE,NSE|1232
83,Gujarat Gas Limited,GUJGASLTD,10599,NSE,NSE|10599
84,Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,1174,NSE,NSE|1174
85,HCL Technologies Limited,HCLTECH,7229,NSE,NSE|7229
86,HDFC Asset Management Company Limited,HDFCAMC,4244,NSE,NSE|4244
87,HDFC Bank Limited,HDFCBANK,1333,NSE,NSE|1333
88,HDFC Life Insurance Company Limited,HDFCLIFE,467,NSE,NSE|467
89,HFCL Limited,HFCL,21951,NSE,NSE|21951
90,Havells India Limited,HAVELLS,9819,NSE,NSE|9819
91,Hero MotoCorp Limited,HEROMOTOCO,1348,NSE,NSE|1348
92,Hindalco Industries Limited,HINDALCO,1363,NSE,NSE|1363
93,Hindustan Aeronautics Limited,HAL,2303,NSE,NSE|2303
94,Hindustan Copper Limited,HINDCOPPER,17939,NSE,NSE|17939
95,Hindustan Petroleum Corporation Limited,HINDPETRO,1406,NSE,NSE|1406
96,Hindustan Unilever Limited,HINDUNILVR,1394,NSE,NSE|1394
97,Housing & Urban Development Corporation Limited,HUDCO,20825,NSE,NSE|20825
98,ICICI Bank Limited,ICICIBANK,4963,NSE,NSE|4963
99,ICICI Lombard General Insurance Company Limited,ICICIGI,21770,NSE,NSE|21770
100,ICICI Prudential Life Insurance Company Limited,ICICIPRULI,18652,NSE,NSE|18652
